Country,City,AccentCity,Region,Population,Latitude,Longitude
se,akersberga,kersberga,26,26785,59.483333,18.3
se,enkoping,Enkping,21,19733,59.633333,17.066667
se,motala,Motala,16,29715,58.55,15.05
se,sandviken,Sandviken,03,22111,60.616667,16.766667
se,umea,Ume,23,74005,63.833333,20.25
se,ystad,Ystad,27,17266,55.416667,13.816667
bz,san pedro,San Pedro,01,8418,17.9166667,-87.95
ca,abbotsford,Abbotsford,02,151685,49.05,-122.3
ca,banff,Banff,01,7502,51.166667,-115.566667
ca,chilliwack,Chilliwack,02,51942,49.166667,-121.95
ca,montreal,Montreal,10,3268513,45.5,-73.583333
ca,moose jaw,Moose Jaw,11,32166,50.4,-105.55
ca,nanaimo,Nanaimo,02,84906,49.15,-123.916667
ca,toronto,Toronto,08,4612187,43.666667,-79.416667
ca,vancouver,Vancouver,02,1837970,49.25,-123.133333
cd,aketi,Aketi,00,35158,2.733333,23.766667
