Country,City,AccentCity,Region,Population,Latitude,Longitude
se,akersberga,kersberga,26,26785,59.483333,18.3
se,alingsas,Alingss,28,22788,57.933333,12.516667
se,angelholm,ngelholm,27,22385,56.25,12.866667
se,arvika,Arvika,22,13666,59.666667,12.566667
se,avesta,Avesta,10,14110,60.15,16.2
se,balsta,Blsta,21,13495,59.583333,17.5
se,boden,Boden,14,18225,65.833333,21.7
se,bollnas,Bollns,03,12145,61.35,16.366667
se,boo,Boo,26,21761,59.333333,18.283333
se,boras,Bors,28,63223,57.716667,12.916667
se,borlange,Borlnge,10,38757,60.483333,15.416667
se,enkoping,Enkping,21,19733,59.633333,17.066667
se,eskilstuna,Eskilstuna,18,59016,59.366667,16.5
se,eslov,Eslv,27,15898,55.833333,13.333333
se,fagersta,Fagersta,25,10432,60,15.783333
se,falkenberg,Falkenberg,06,18407,56.898056,12.501944
se,falkoping,Falkping,28,15054,58.166667,13.55
se,falun,Falun,10,35385,60.6,15.633333
se,finspang,Finspng,16,11989,58.716667,15.783333
se,gavle,Gvle,03,68635,60.666667,17.166667
se,goteborg,Gteborg,28,515253,57.716667,11.966667
se,halmstad,Halmstad,06,55658,56.671389,12.855556
se,harnosand,Hrnsand,24,17016,62.636111,17.941111
se,hassleholm,Hssleholm,27,17050,56.15,13.766667
se,helsingborg,Helsingborg,27,91025,56.05,12.7
se,hoganas,Hgans,27,13461,56.2,12.55
se,hudiksvall,Hudiksvall,03,14621,61.733333,17.1125
se,jonkoping,Jnkping,08,83202,57.783333,14.183333
se,kalmar,Kalmar,09,34745,56.666667,16.366667
se,karlshamn,Karlshamn,02,18161,56.166667,14.85
se,karlskoga,Karlskoga,15,26949,59.333333,14.516667
se,karlskrona,Karlskrona,02,32309,56.166667,15.583333
se,karlstad,Karlstad,22,57779,59.366667,13.5
se,katrineholm,Katrineholm,18,21108,59,16.2
se,kinna,Kinna,28,14211,57.5,12.683333
se,kiruna,Kiruna,14,17806,67.85,20.216667
se,koping,Kping,25,16617,59.516667,16
se,kristianstad,Kristianstad,27,32188,56.033333,14.133333
se,kristinehamn,Kristinehamn,22,17000,59.333333,14.116667
se,kumla,Kumla,15,12756,59.133333,15.133333
se,kungalv,Kunglv,28,21262,57.866667,11.966667
se,kungsbacka,Kungsbacka,06,18698,57.483333,12.066667
se,landskrona,Landskrona,27,27889,55.866667,12.833333
se,lerum,Lerum,28,15949,57.766667,12.266667
se,lidingo,Liding,26,30930,59.366667,18.133333
se,lidkoping,Lidkping,28,24586,58.5,13.166667
se,lindome,Lindome,28,10942,57.566667,12.083333
se,linkoping,Linkping,16,96732,58.416667,15.616667
se,ljungby,Ljungby,12,14272,56.833333,13.933333
se,ludvika,Ludvika,10,13638,60.15,15.183333
se,lulea,Lule,14,45551,65.583333,22.15
se,lund,Lund,27,76263,55.7,13.183333
se,malmo,Malm,27,261549,55.6,13
se,mariestad,Mariestad,28,14891,58.7,13.816667
se,marsta,Mrsta,26,23194,59.616667,17.85
se,mjolby,Mjlby,16,11560,58.316667,15.133333
se,molnlycke,Mlnlycke,28,14653,57.65,12.133333
se,motala,Motala,16,29715,58.55,15.05
se,nassjo,Nssj,08,15954,57.65,14.683333
se,norrkoping,Norrkping,16,82903,58.6,16.183333
se,norrtalje,Norrtlje,26,16914,59.766667,18.7
se,nybro,Nybro,09,12059,56.75,15.9
se,nykoping,Nykping,18,27582,58.75,17
se,nynashamn,Nynshamn,26,13616,58.904444,17.946389
se,orebro,rebro,15,98573,59.283333,15.216667
